Entidade,Tipo,Início,Fim
José Morgado,PER,63,75
Mariana,PER,84,91
Hospital São Marcos de Braga,LOC,151,179
São João dos Soutos,LOC,194,213
Professores,MISC,856,867
Porquê,MISC,967,973
Honrar,MISC,2271,2277
Fui,PER,3591,3594
Oficial,PER,3723,3730
Salazar,PER,3786,3793
Ai,MISC,3884,3886
Opa,MISC,4010,4013
Freguesia,LOC,4618,4627
Fardado,MISC,4629,4636
Fui,PER,4870,4873
Comecei,PER,5138,5145
Sim,MISC,5632,5635
Percebes,PER,5812,5820
Sim,MISC,6186,6189
Faria,PER,6459,6464
Livros,MISC,6869,6875
Comecei,PER,7263,7270
Grundigue,ORG,7549,7558
Fui,PER,8069,8072
Austrália,LOC,8240,8249
Sim,MISC,8367,8370
Podia,MISC,9110,9115
Acho,PER,9347,9351
Olhamos,MISC,10786,10793
Pior!,MISC,11175,11180
Vamos,PER,12225,12230
Tenho,PER,12518,12523
Sim,MISC,12545,12548
Acho,PER,13006,13010
Gosto,PER,13626,13631
Acho,PER,14723,14727
Pronto,MISC,15575,15581
