Palavra,Frequência,Lema
nome,1,nome
francisca,1,francisca
vou,1,ir
entrevistar,1,entrevistar
irmã,1,irmã
eduarda,1,eduarda
nasceste,1,em asceste
nasci,1,nasci
guimarães,2,guimarães
março,1,março
família,4,família
escola,3,escola
eras,2,era
criança,1,criança
bocadinho,3,bocadinho
instável,1,instável
escolar,1,escolar
feliz,2,feliz
infância,1,infância
sentido,2,sentido
gostavas,2,gostava
jovem,3,jovem
gostava,4,gostar
andar,1,andar
patins,1,patim
amigos,1,amigo
avós,1,avós
monte,1,monte
primos,1,prir
basicamente,1,basicamente
descreverias,1,descreverio
poucas,1,pouco
palavras,1,palavra
acho,11,achar
pessoa,8,pessoa
ambiciosa,1,ambicioso
luto,1,lutar
objetivos,3,objetivo
contrapartida,2,contrapartida
cabeça,2,cabeça
ar,2,ar
prejudica,1,prejudicar
bocado,2,bocado
organizada,1,organizar
competente,1,competente
objetivo,1,objetivo
consideras,2,considera
princípio,1,princípio
segues,1,segue
vida,10,vida
frase,1,frase
faças,1,faça
queres,1,quer
façam,1,façam
ti,2,ti
lema,1,lema
momentos,2,momento
marcantes,2,marcante
tirar,3,tirar
carta,2,carta
começo,1,começar
muita,2,muito
código,1,código
condução,1,condução
marcante,1,marcante
aprender,7,aprender
calma,3,calmo
ansiosa,1,ansioso
focada,1,focado
outro,1,outro
importante,6,importante
calhar,4,calhar
licenciei,1,licenciar
emprego,1,emprego
carro,1,carro
experiência,2,experiência
universidade,2,universidade
considero,1,considerar
primária,1,primária
básica,1,básico
secundária,1,secundár
melhor,2,bom
espetacular,1,espetacular
estudar,3,estudar
bragança,1,bragança
aventura,1,aventura
deu,1,dar
principalmente,1,principalmente
foco,1,foco
preciso,2,preciso
formados,1,formar
gostei,1,gostar
independência,1,independência
coisas,2,coisa
sinto,3,sinto
achas,3,acha
educação,2,educação
hoje,4,hoje
seja,1,ser
útil,1,útil
realmente,1,realmente
óbvio,1,óbvio
sido,1,ser
estudei,1,estudeer
chegaria,1,chegar
exatamente,1,exatamente
situação,1,situação
dia,2,dia
tivesse,1,ter
estudado,1,estudar
mudarias,1,mudaria
trajetória,1,trajetório
educativa,1,educativo
pudesses,2,pudesse
pudesse,2,puder
tinha,2,ter
tirado,1,tirar
curso,2,curso
ciências,1,ciências
tecnologias,1,tecnologias
ido,1,ir
diretamente,1,diretamente
economia,2,economia
acabei,1,acabar
licenciatura,1,licenciatura
gestão,1,gestão
formada,1,formar
dávamos,1,dávar
alterava,1,alterar
trabalho,4,trabalho
conseguiste,1,conseguiste
dezesseis,1,dezessel
caixa,1,caixa
supermercado,1,supermercar
intermarché,1,intermarché
altura,1,altura
engano,1,engano
conseguiu,1,conseguir
colega,1,colega
pai,1,pai
trabalhava,1,trabalhar
precisavam,1,precisar
precisava,1,precisar
vês,1,vês
trabalhar,1,trabalhar
claro,2,claro
estamos,2,estar
mundo,1,mundo
contribuir,2,contribuir
nisso,1,em isso
função,1,função
sociedade,1,sociedade
geração,3,geração
oportunidades,1,oportunidade
fundo,2,fundo
mesma,1,mesmo
fôssemos,1,fôssemos
comparar,1,comparar
pais,1,pai
diria,1,dir
caso,1,caso
acaba,2,acabar
houve,1,houve
alguma,1,algum
mudança,1,mudança
significativa,1,significativo
pensar,2,pensar
longo,3,longo
acontecer,2,acontecer
connosco,1,connosco
estressada,1,estressado
conforme,1,conforme
crescendo,1,crescer
comecei,1,começar
viver,1,viver
estressar,1,estressar
deixar,1,deixar
lição,2,lição
aprendeste,1,aprendeste
aprendi,2,aprendi
garantido,1,garantir
secalhar,1,secalhar
independentemente,1,independentemente
esforçar,1,esforçar
aconteçam,1,aconteçar
estávamos,1,estar
espera,1,espera
lidar,1,lidar
darias,1,daria
versão,1,versão
passa,1,passar
rápido,1,rápido
pressa,1,pressa
jovens,3,jovem
soubessem,1,soubessem
entendessem,1,entender
literacia,2,literacia
financeira,2,financeiro
desatualizados,1,desatualizar
errado,1,errar
visto,1,ver
evolução,1,evolução
portugueses,1,português
reviver,1,reviver
fase,2,fase
voltava,2,voltava
secundário,1,secundário
dei,1,dar
académico,1,académico
refazer,1,refazer
gostarias,1,gostaria
pessoas,2,pessoa
lembrassem,2,lembrar
futuro,1,futuro
mim,1,eu
disposta,1,disposto
disponível,1,disponível
ajudar,1,ajudar
objective,1,objective
